局----------------------  実行情報  ----------------------
実行時間＝6776秒
個体数＝1350
合計世代数＝100
=============================
Total cost: -79585.1962222891
=============================
------------------------  前提  ------------------------

waste=kanen

ごみ量37位以内：
札幌市 (349353), 函館市 (66649), 旭川市 (64890), 苫小牧市 (42288), 釧路市 (38335), 帯広市 (35291), 千歳市 (25770), 小樽市 (25049), 江別市 (24906), 北見市 (20809), 室蘭市 (20448), 岩見沢市 (12638), 登別市 (11426), 北広島市 (10822), 石狩市 (9341), 音更町 (7531), 稚内市 (7127), 恵庭市 (6987), 伊達市 (6907), 網走市 (6299), 滝川市 (5831), 北斗市 (5150), 七飯町 (5008), 中標津町 (4837), 根室市 (4736), 幕別町 (4414), 新ひだか町 (4277), 釧路町 (4090), 美幌町 (4063), 白老町 (3395), 紋別市 (3325), 中札内村 (2807), 芽室町 (2638), 東神楽町 (2584), 余市町 (2489), 砂川市 (2419), せたな町 (2370)

焼却施設数: 19
中継施設数: 8

輸送単価＝ 4.8 円/t/km
--------------------  GAPlot_input  --------------------

waste_name ='kanen'
unit ='t/year'

inc_size= [679480, 155424, 88092, 7127, 6665, 1605, 1444, 282, 195, 184, 170, 158, 110, 37, 33, 26, 24, 24, 16]
inc_facility = ['札幌市', '釧路市', '旭川市', '稚内市', '紋別市', '浜頓別町', '苫前町', '猿払村', '滝上町', '興部町', '雄武町', '西興部村', '中頓別町', '初山別村', '豊富町', '遠別町', '天塩町', '幌延町', '中川町']
inc_blocks = [['夕張市', '南幌町', '由仁町', '長沼町', '栗山町', '札幌市', '江別市', '千歳市', '恵庭市', '北広島市', '石狩市', '当別町', '小樽市', '蘭越町', 'ニセコ町', '真狩村', '留寿都村', '喜茂別町', '京極町', '俱知安町', '共和町', '岩内町', '泊村', '神恵内村', '積丹町', '古平町', '仁木町', '余市町', '赤井川村', '安平町'], ['芦別市', '赤平市', '歌志内市', '深川市', '妹背牛町', '秩父別町', '雨竜町', '北竜町', '沼田町', '旭川市', '富良野市', '鷹栖町', '東神楽町', '当麻町', '比布町', '愛別町', '上川町', '東川町', '美瑛町', '上富良野町', '中富良野町', '南富良野町', '占冠村', '和寒町', '幌加内町'], ['浜頓別町', '枝幸町'], ['留萌市', '増毛町', '小平町', '苫前町', '羽幌町'], ['初山別村'], ['遠別町'], ['天塩町'], ['稚内市'], ['音威子府村', '中川町'], ['滝上町'], ['中頓別町'], ['猿払村'], ['豊富町'], ['幌延町'], ['紋別市', '佐呂間町', '遠軽町', '湧別町'], ['興部町'], ['下川町', '西興部村'], ['雄武町'], ['斜里町', '本別町', '足寄町', '浦幌町', '釧路市', '釧路町', '厚岸町', '浜中町', '標茶町', '弟子屈町', '鶴居村', '白糠町', '根室市', '別海町', '中標津町', '標津町', '羅臼町']]

trans_size=[83618, 60888, 55115, 33062, 31874, 26351, 17415, 4812]
trans_facility = ['函館市', '帯広市', '苫小牧市', '津別町', '室蘭市', '月形町', '豊浦町', '士別市']
trans_blocks = [['士別市', '名寄市', '剣淵町', '美深町'], ['室蘭市', '登別市'], ['苫小牧市', '白老町', '厚真町', 'むかわ町', '日高町', '平取町', '新冠町', '浦河町', '新ひだか町'], ['島牧村', '寿都町', '黒松内町', '伊達市', '豊浦町', '壮瞥町', '洞爺湖町', '八雲町', '長万部町', '今金町', 'せたな町'], ['岩見沢市', '美唄市', '三笠市', '滝川市', '砂川市', '奈井江町', '上砂川町', '月形町', '浦臼町', '新十津川町', '新篠津村'], ['函館市', '北斗市', '松前町', '福島町', '知内町', '木古内町', '七飯町', '鹿部町', '森町', '江差町', '上ノ国町', '厚沢部町', '乙部町'], ['北見市', '網走市', '美幌町', '津別町', '清里町', '小清水町', '訓子府町', '置戸町', '大空町', '陸別町'], ['様似町', 'えりも町', '帯広市', '音更町', '士幌町', '上士幌町', '鹿追町', '新得町', '清水町', '芽室町', '中札内村', '更別村', '大樹町', '広尾町', '幕別町', '池田町', '豊頃町']]

arrows = [[['札幌市'], ['函館市', '月形町', '室蘭市', '苫小牧市', '豊浦町']], [['旭川市'], ['士別市']], [['釧路市'], ['津別町', '帯広市']]]


---------------------  エネルギー情報  ---------------------
[52225.57538033334, 182032.45796724947, -332991.6492958994, 19148.419726027398]

EL_direct: {'札幌市': 31695.680321770844, '釧路市': 13777.657599875001, '旭川市': 4979.092848166668, '稚内市': 0.0, '紋別市': 1173.2759238958333, '浜頓別町': 273.5482154166667, '苫前町': 306.5479522083334, '猿払村': 0.0, '滝上町': 0.0, '興部町': 0.0, '雄武町': 0.0, '西興部村': 19.002119500000003, '中頓別町': 0.0, '初山別村': 0.0, '豊富町': 0.0, '遠別町': 0.0, '天塩町': 0.0, '幌延町': 0.0, '中川町': 0.7703995000000001}
ED_inc: {'札幌市': -460981.29904583294, '釧路市': 33397.52308960527, '旭川市': 49924.34685041549, '稚内市': 15144.566798995975, '紋別市': 14439.650752638745, '浜頓別町': 4893.296660112473, '苫前町': 4497.033727607463, '猿払村': 1163.6509218695028, '滝上町': 849.2314800372487, '興部町': 807.9468143728554, '雄武町': 754.8096209267659, '西興部村': 708.6964628963826, '中頓別町': 518.0804921426532, '初山別村': 199.24585617849738, '豊富町': 180.0454620005565, '遠別町': 145.69531867270277, '天塩町': 135.67844323768028, '幌延町': 135.67844323768028, '中川町': 94.4725549858057}

EL_indirect: {'函館市': 82574.7988576593, '帯広市': 27868.3106236145, '苫小牧市': 17463.086854330006, '津別町': 19127.495037150507, '室蘭市': 14137.254320284334, '月形町': 8677.745853584165, '豊浦町': 10840.559320391669, '士別市': 1343.207100235}
ED_trans: {'函館市': 5113.297972602739, '帯広市': 3723.342904109589, '苫小牧市': 3370.32, '津別町': 2021.7639452054793, '室蘭市': 1949.1169315068496, '月形町': 1611.381698630137, '豊浦町': 1064.9391780821918, '士別市': 294.25709589041094}

----------------------  輸送情報  ----------------------

direct 札幌市(1274/1862) t/day → receive from: 夕張市, 南幌町, 由仁町, 長沼町, 栗山町, 札幌市, 江別市, 千歳市, 恵庭市, 北広島市, 石狩市, 当別町, 小樽市, 蘭越町, ニセコ町, 真狩村, 留寿都村, 喜茂別町, 京極町, 俱知安町, 共和町, 岩内町, 泊村, 神恵内村, 積丹町, 古平町, 仁木町, 余市町, 赤井川村, 安平町
indirect 札幌市(587/1862) t/day → receive from: 中継施設＝ 函館市(83618) → receive from: 函館市, 北斗市, 松前町, 福島町, 知内町, 木古内町, 七飯町, 鹿部町, 森町, 江差町, 上ノ国町, 厚沢部町, 乙部町
月形町(26351) → receive from: 岩見沢市, 美唄市, 三笠市, 滝川市, 砂川市, 奈井江町, 上砂川町, 月形町, 浦臼町, 新十津川町, 新篠津村
室蘭市(31874) → receive from: 室蘭市, 登別市
苫小牧市(55115) → receive from: 苫小牧市, 白老町, 厚真町, むかわ町, 日高町, 平取町, 新冠町, 浦河町, 新ひだか町
豊浦町(17415) → receive from: 島牧村, 寿都町, 黒松内町, 伊達市, 豊浦町, 壮瞥町, 洞爺湖町, 八雲町, 長万部町, 今金町, せたな町
direct 釧路市(168/426) t/day → receive from: 斜里町, 本別町, 足寄町, 浦幌町, 釧路市, 釧路町, 厚岸町, 浜中町, 標茶町, 弟子屈町, 鶴居村, 白糠町, 根室市, 別海町, 中標津町, 標津町, 羅臼町
indirect 釧路市(257/426) t/day → receive from: 中継施設＝ 津別町(33062) → receive from: 北見市, 網走市, 美幌町, 津別町, 清里町, 小清水町, 訓子府町, 置戸町, 大空町, 陸別町
帯広市(60888) → receive from: 様似町, えりも町, 帯広市, 音更町, 士幌町, 上士幌町, 鹿追町, 新得町, 清水町, 芽室町, 中札内村, 更別村, 大樹町, 広尾町, 幕別町, 池田町, 豊頃町
direct 旭川市(228/241) t/day → receive from: 芦別市, 赤平市, 歌志内市, 深川市, 妹背牛町, 秩父別町, 雨竜町, 北竜町, 沼田町, 旭川市, 富良野市, 鷹栖町, 東神楽町, 当麻町, 比布町, 愛別町, 上川町, 東川町, 美瑛町, 上富良野町, 中富良野町, 南富良野町, 占冠村, 和寒町, 幌加内町
indirect 旭川市(13/241) t/day → receive from: 中継施設＝ 士別市(4812) → receive from: 士別市, 名寄市, 剣淵町, 美深町
direct 稚内市(20/20) t/day → receive from: 稚内市
direct 紋別市(18/18) t/day → receive from: 紋別市, 佐呂間町, 遠軽町, 湧別町
direct 浜頓別町(4/4) t/day → receive from: 浜頓別町, 枝幸町
direct 苫前町(4/4) t/day → receive from: 留萌市, 増毛町, 小平町, 苫前町, 羽幌町
direct 猿払村(1/1) t/day → receive from: 猿払村
direct 滝上町(1/1) t/day → receive from: 滝上町
direct 興部町(1/1) t/day → receive from: 興部町
direct 雄武町(0/0) t/day → receive from: 雄武町
direct 西興部村(0/0) t/day → receive from: 下川町, 西興部村
direct 中頓別町(0/0) t/day → receive from: 中頓別町
direct 初山別村(0/0) t/day → receive from: 初山別村
direct 豊富町(0/0) t/day → receive from: 豊富町
direct 遠別町(0/0) t/day → receive from: 遠別町
direct 天塩町(0/0) t/day → receive from: 天塩町
direct 幌延町(0/0) t/day → receive from: 幌延町
direct 中川町(0/0) t/day → receive from: 音威子府村, 中川町

----------------------  遺伝情報  ----------------------

個体数＝1350
世代数＝100
0: neval=1350{'avg': inf, 'max': inf, 'min': 260434.74423782228} best=260434.74423782228
1: neval=1027{'avg': inf, 'max': inf, 'min': 260434.74423782228} best=260434.74423782228
2: neval=1081{'avg': inf, 'max': inf, 'min': 233764.3996964415} best=233764.3996964415
3: neval=1035{'avg': inf, 'max': inf, 'min': 233764.3996964415} best=233764.3996964415
4: neval=1060{'avg': inf, 'max': inf, 'min': 197319.16424261045} best=197319.16424261045
5: neval=1034{'avg': inf, 'max': inf, 'min': 196032.94176529217} best=196032.94176529217
6: neval=1071{'avg': inf, 'max': inf, 'min': 182863.5960507912} best=182863.5960507912
7: neval=1080{'avg': inf, 'max': inf, 'min': 162689.28597706766} best=162689.28597706766
8: neval=1081{'avg': inf, 'max': inf, 'min': 123439.22573503216} best=123439.22573503216
9: neval=1068{'avg': 249355.40966410973, 'max': 519846.4738518729, 'min': 117135.04486601689} best=117135.04486601689
10: neval=1059{'avg': inf, 'max': inf, 'min': 117135.04486601689} best=117135.04486601689
11: neval=1083{'avg': inf, 'max': inf, 'min': 82217.079515013} best=82217.079515013
12: neval=1073{'avg': inf, 'max': inf, 'min': 82217.079515013} best=82217.079515013
13: neval=1099{'avg': 181997.87814577806, 'max': 722448.4036875605, 'min': 82217.079515013} best=82217.079515013
14: neval=1060{'avg': inf, 'max': inf, 'min': 93963.9932450907} best=82217.079515013
15: neval=1047{'avg': 154435.18017568826, 'max': 486642.4416282884, 'min': 71125.16535394471} best=71125.16535394471
16: neval=1042{'avg': 142600.2853569391, 'max': 454245.1381774347, 'min': 67550.83396352279} best=67550.83396352279
17: neval=1067{'avg': 130040.04137863833, 'max': 561245.2823499725, 'min': 65601.24533676569} best=65601.24533676569
18: neval=1099{'avg': 112792.74430909171, 'max': 613686.7849724663, 'min': 50698.51438040043} best=50698.51438040043
19: neval=1052{'avg': 97539.94246223736, 'max': 495605.70458262204, 'min': 35965.43976903966} best=35965.43976903966
20: neval=1050{'avg': 85902.57793342663, 'max': 516228.03667903505, 'min': 30406.82546944995} best=30406.82546944995
21: neval=1077{'avg': 75241.12617707693, 'max': 376671.62778262474, 'min': 5745.771584298971} best=5745.771584298971
22: neval=1055{'avg': 64148.271186735255, 'max': 483036.9804088334, 'min': 5745.771584298971} best=5745.771584298971
23: neval=1089{'avg': 56624.045050414024, 'max': 451192.1608158469, 'min': -7623.676387572512} best=-7623.676387572512
24: neval=1082{'avg': 47716.36665975684, 'max': 426198.6757069213, 'min': -7623.676387572512} best=-7623.676387572512
25: neval=1074{'avg': 42153.424024215274, 'max': 359732.3650909701, 'min': -7623.676387572512} best=-7623.676387572512
26: neval=1078{'avg': 35912.96450945758, 'max': 380740.1438334364, 'min': -8787.954058199412} best=-8787.954058199412
27: neval=1036{'avg': 28108.316405879406, 'max': 331207.66440348973, 'min': -10975.838259282908} best=-10975.838259282908
28: neval=1094{'avg': 23153.00474790495, 'max': 319469.3468822302, 'min': -24829.02713851836} best=-24829.02713851836
29: neval=1090{'avg': 16021.784712878896, 'max': 270463.86252917245, 'min': -16267.745441709128} best=-24829.02713851836
30: neval=1062{'avg': 10394.208710928935, 'max': 344731.8637147272, 'min': -19442.311941491025} best=-24829.02713851836
31: neval=1060{'avg': 4240.451545831934, 'max': 305113.97443694744, 'min': -27949.59548932175} best=-27949.59548932175
32: neval=1083{'avg': -60.67909364211718, 'max': 334861.44603932416, 'min': -27949.59548932175} best=-27949.59548932175
33: neval=1088{'avg': -6354.780101510939, 'max': 280137.1767106854, 'min': -28931.573260867335} best=-28931.573260867335
34: neval=1081{'avg': -11018.553912655441, 'max': 325949.9370233918, 'min': -33246.977227061} best=-33246.977227061
35: neval=1054{'avg': -17896.40249477025, 'max': 288375.5454592884, 'min': -33246.977227061} best=-33246.977227061
36: neval=1070{'avg': -21227.541225557765, 'max': 295260.0034212583, 'min': -34503.51161392139} best=-34503.51161392139
37: neval=1075{'avg': -24242.52444452376, 'max': 284718.5499146245, 'min': -47816.4229279891} best=-47816.4229279891
38: neval=1075{'avg': -26688.185195469017, 'max': 282886.39540961554, 'min': -55747.523653711076} best=-55747.523653711076
39: neval=1072{'avg': -29510.67695073071, 'max': 300279.637566154, 'min': -55747.523653711076} best=-55747.523653711076
40: neval=1098{'avg': -30953.49574017299, 'max': 435188.4566860731, 'min': -57271.146233717576} best=-57271.146233717576
41: neval=1041{'avg': -34520.32770282603, 'max': 260213.53588524478, 'min': -59744.57946745044} best=-59744.57946745044
42: neval=1060{'avg': -36120.24473652147, 'max': 255996.3814334721, 'min': -60187.597432035036} best=-60187.597432035036
43: neval=1052{'avg': -39540.68437796461, 'max': 371691.7967813291, 'min': -60244.231531278885} best=-60244.231531278885
44: neval=1067{'avg': -42745.75324972539, 'max': 219347.7344499597, 'min': -60925.12098160756} best=-60925.12098160756
45: neval=1090{'avg': -46704.27551007619, 'max': 95344.82662170341, 'min': -64021.98317454428} best=-64021.98317454428
46: neval=1078{'avg': -47068.29198189597, 'max': 271495.82523317507, 'min': -64082.32450520217} best=-64082.32450520217
47: neval=1065{'avg': -53255.05317497087, 'max': 201726.1908873359, 'min': -64626.713801174876} best=-64626.713801174876
48: neval=1082{'avg': -56166.330548146434, 'max': 349052.9565103661, 'min': -66210.01330509582} best=-66210.01330509582
49: neval=1069{'avg': -57832.359587682186, 'max': 437635.66025129304, 'min': -68519.78149609941} best=-68519.78149609941
50: neval=1084{'avg': -59461.6196072266, 'max': 323353.11322078796, 'min': -69007.2012221248} best=-69007.2012221248
51: neval=1072{'avg': -62004.44381347894, 'max': 240143.22837971893, 'min': -71468.38188981151} best=-71468.38188981151
52: neval=1059{'avg': -64065.1471776581, 'max': 271237.9111534715, 'min': -71551.41390432758} best=-71551.41390432758
53: neval=1074{'avg': -65345.71552843297, 'max': 256556.7917454322, 'min': -71983.03021138685} best=-71983.03021138685
54: neval=1082{'avg': -64643.063871318445, 'max': 393843.88203487406, 'min': -71983.03021138685} best=-71983.03021138685
55: neval=1063{'avg': -67409.5142413931, 'max': 294780.7869941309, 'min': -72145.52835372486} best=-72145.52835372486
56: neval=1080{'avg': -69435.47500677487, 'max': 270586.56927554007, 'min': -72145.52835372486} best=-72145.52835372486
57: neval=1079{'avg': -68491.83230603194, 'max': 310584.32608362375, 'min': -72393.93632826768} best=-72393.93632826768
58: neval=1067{'avg': -70981.65379759173, 'max': 248361.53386415512, 'min': -72393.93632826768} best=-72393.93632826768
59: neval=1055{'avg': -70750.41242321496, 'max': 336930.68575877097, 'min': -72393.93632826768} best=-72393.93632826768
60: neval=1080{'avg': -69920.32613850651, 'max': 303636.1344189142, 'min': -72393.93632826768} best=-72393.93632826768
61: neval=1091{'avg': -69515.70974657405, 'max': 311831.71464503545, 'min': -72393.93632826768} best=-72393.93632826768
62: neval=1069{'avg': -70553.33678826733, 'max': 324496.7784772078, 'min': -72476.64043370013} best=-72476.64043370013
63: neval=1074{'avg': -70936.61887651528, 'max': 290740.5858883297, 'min': -72476.64043370013} best=-72476.64043370013
64: neval=1102{'avg': -70052.32413271598, 'max': 302321.8032382973, 'min': -72476.64043370013} best=-72476.64043370013
65: neval=1066{'avg': -69299.67881327122, 'max': 301446.25361521426, 'min': -72476.64043370013} best=-72476.64043370013
66: neval=1070{'avg': -70529.51208253138, 'max': 197939.12466046846, 'min': -72476.64043370013} best=-72476.64043370013
67: neval=1058{'avg': -70504.33979269856, 'max': 266889.1671037357, 'min': -72476.64043370013} best=-72476.64043370013
68: neval=1066{'avg': -70222.12029401246, 'max': 215779.41753387346, 'min': -72476.64043370013} best=-72476.64043370013
69: neval=1016{'avg': -70797.66492453964, 'max': 317698.56524951424, 'min': -72476.64043370013} best=-72476.64043370013
70: neval=1094{'avg': -70944.8057777968, 'max': 320399.1690266691, 'min': -72476.64043370013} best=-72476.64043370013
71: neval=1036{'avg': -70485.75173251881, 'max': 289599.36152349383, 'min': -72476.64043370013} best=-72476.64043370013
72: neval=1032{'avg': -70249.98811966609, 'max': 270466.2572419364, 'min': -72476.64043370013} best=-72476.64043370013
73: neval=1071{'avg': -70370.90043327164, 'max': 369105.12905248645, 'min': -72476.64043370013} best=-72476.64043370013
74: neval=1070{'avg': -70628.40767919499, 'max': 217422.17181286222, 'min': -72476.64043370013} best=-72476.64043370013
75: neval=1053{'avg': -71380.29844725224, 'max': 237749.83373230658, 'min': -72476.64043370013} best=-72476.64043370013
76: neval=1080{'avg': -70481.87886689391, 'max': 307166.5301629817, 'min': -72476.64043370013} best=-72476.64043370013
77: neval=1039{'avg': -71110.2808616994, 'max': 263876.87912857917, 'min': -72476.64043370013} best=-72476.64043370013
78: neval=1078{'avg': -71637.79890510112, 'max': 250956.43352805517, 'min': -72476.64043370013} best=-72476.64043370013
79: neval=1083{'avg': -70717.1508758312, 'max': 300844.5746071369, 'min': -72476.64043370013} best=-72476.64043370013
80: neval=1051{'avg': -70832.85018924905, 'max': 424030.9247132044, 'min': -72476.64043370013} best=-72476.64043370013
81: neval=1058{'avg': -72279.4014349854, 'max': 193796.00783119566, 'min': -72476.64043370013} best=-72476.64043370013
82: neval=1087{'avg': -71547.71038017483, 'max': 220491.011424804, 'min': -72476.64043370013} best=-72476.64043370013
83: neval=1076{'avg': -71004.05406996113, 'max': 238994.51453063707, 'min': -72476.64043370013} best=-72476.64043370013
