局----------------------  実行情報  ----------------------
実行時間＝257秒
個体数＝250
合計世代数＝59
==============================
Total cost: -3545148.674413735
==============================
------------------------  前提  ------------------------

waste=sanpai

ごみ量15位以内：
苫小牧市 (2039382), 釧路市 (1177668), 札幌市 (728360), 室蘭市 (677679), 登別市 (430316), 伊達市 (334124), 帯広市 (182218), 旭川市 (138210), 函館市 (133081), 釧路町 (121597), 白老町 (99038), 北見市 (91496), 小樽市 (91037), 千歳市 (69923), 江別市 (64214)

焼却施設数: 4
中継施設数: 1

輸送単価＝ 4.8 円/t/km
--------------------  GAPlot_input  --------------------

waste ='sanpai'

unit ='t/year'

inc_size= [2404345, 2107313, 1855891, 1500743]

inc_facility = ['苫小牧市', '釧路市', '室蘭市', '札幌市']
inc_blocks = [['夕張市', '岩見沢市', '美唄市', '芦別市', '赤平市', '三笠市', '滝川市', '砂川市', '歌志内市', '深川市', '南幌町', '奈井江町', '上砂川町', '由仁町', '長沼町', '栗山町', '月形町', '浦臼町', '新十津川町', '妹背牛町', '秩父別町', '雨竜町', '北竜町', '沼田町', '札幌市', '江別市', '恵庭市', '北広島市', '石狩市', '当別町', '新篠津村', '小樽市', '喜茂別町', '京極町', '共和町', '岩内町', '泊村', '神恵内村', '積丹町', '古平町', '仁木町', '余市町', '赤井川村', '旭川市', '士別市', '名寄市', '富良野市', '鷹栖町', '東神楽町', '当麻町', '比布町', '愛別町', '上川町', '東川町', '美瑛町', '上富良野町', '中富良野町', '和寒町', '剣淵町', '下川町', '美深町', '音威子府村', '中川町', '幌加内町', '留萌市', '増毛町', '小平町', '苫前町', '羽幌町', '初山別村', '遠別町', '天塩町', '稚内市', '猿払村', '浜頓別町', '中頓別町', '枝幸町', '豊富町', '幌延町', '滝上町', '西興部村'], ['島牧村', '寿都町', '黒松内町', '蘭越町', 'ニセコ町', '真狩村', '留寿都村', '俱知安町', '室蘭市', '登別市', '伊達市', '豊浦町', '壮瞥町', '洞爺湖町', '長万部町', '今金町', 'せたな町'], ['千歳市', '苫小牧市', '白老町', '厚真町', '安平町', 'むかわ町', '日高町', '平取町', '新冠町', '浦河町', '様似町', 'えりも町', '新ひだか町', '南富良野町', '占冠村'], ['北見市', '網走市', '紋別市', '美幌町', '津別町', '清里町', '斜里町', '小清水町', '訓子府町', '置戸町', '佐呂間町', '遠軽町', '湧別町', '興部町', '雄武町', '大空町', '帯広市', '音更町', '士幌町', '上士幌町', '鹿追町', '新得町', '清水町', '芽室町', '中札内村', '更別村', '大樹町', '広尾町', '幕別町', '池田町', '豊頃町', '本別町', '足寄町', '陸別町', '浦幌町', '釧路市', '釧路町', '厚岸町', '浜中町', '標茶町', '弟子屈町', '鶴居村', '白糖町', '根室市', '別海町', '中標津町', '標津町', '羅臼町']]

trans_size=[255303]
trans_facility = ['北斗市']
trans_blocks = [['函館市', '北斗市', '松前町', '福島町', '知内町', '木古内町', '七飯町', '鹿部町', '森町', '八雲町', '江差町', '上ノ国町', '厚沢部町', '乙部町']]

arrows = [[['室蘭市'], ['北斗市']]]


---------------------  エネルギー情報  ---------------------
[1669239.900682251, 108104.29797373267, -5338104.826384787, 15611.953315068495]

EL_direct: {'苫小牧市': 110935.96278239584, '釧路市': 703408.4038743126, '室蘭市': 202625.99087331255, '札幌市': 652269.5431522294}
ED_inc: {'苫小牧市': -1631185.7324047112, '釧路市': -1429669.577082727, '室蘭市': -1259096.7270081094, '札幌市': -1018152.7898892396}

EL_indirect: {'北斗市': 108104.29797373267}
ED_trans: {'北斗市': 15611.953315068495}

----------------------  輸送情報  ----------------------

direct 苫小牧市(6587/6587) t/day → receive from: 千歳市, 苫小牧市, 白老町, 厚真町, 安平町, むかわ町, 日高町, 平取町, 新冠町, 浦河町, 様似町, えりも町, 新ひだか町, 南富良野町, 占冠村
direct 釧路市(5773/5773) t/day → receive from: 北見市, 網走市, 紋別市, 美幌町, 津別町, 清里町, 斜里町, 小清水町, 訓子府町, 置戸町, 佐呂間町, 遠軽町, 湧別町, 興部町, 雄武町, 大空町, 帯広市, 音更町, 士幌町, 上士幌町, 鹿追町, 新得町, 清水町, 芽室町, 中札内村, 更別村, 大樹町, 広尾町, 幕別町, 池田町, 豊頃町, 本別町, 足寄町, 陸別町, 浦幌町, 釧路市, 釧路町, 厚岸町, 浜中町, 標茶町, 弟子屈町, 鶴居村, 白糖町, 根室市, 別海町, 中標津町, 標津町, 羅臼町
direct 室蘭市(4385/5085) t/day → receive from: 島牧村, 寿都町, 黒松内町, 蘭越町, ニセコ町, 真狩村, 留寿都村, 俱知安町, 室蘭市, 登別市, 伊達市, 豊浦町, 壮瞥町, 洞爺湖町, 長万部町, 今金町, せたな町
indirect 室蘭市(699/5085) t/day → receive from: 中継施設＝ 北斗市(255303) → receive from: 函館市, 北斗市, 松前町, 福島町, 知内町, 木古内町, 七飯町, 鹿部町, 森町, 八雲町, 江差町, 上ノ国町, 厚沢部町, 乙部町
direct 札幌市(4112/4112) t/day → receive from: 夕張市, 岩見沢市, 美唄市, 芦別市, 赤平市, 三笠市, 滝川市, 砂川市, 歌志内市, 深川市, 南幌町, 奈井江町, 上砂川町, 由仁町, 長沼町, 栗山町, 月形町, 浦臼町, 新十津川町, 妹背牛町, 秩父別町, 雨竜町, 北竜町, 沼田町, 札幌市, 江別市, 恵庭市, 北広島市, 石狩市, 当別町, 新篠津村, 小樽市, 喜茂別町, 京極町, 共和町, 岩内町, 泊村, 神恵内村, 積丹町, 古平町, 仁木町, 余市町, 赤井川村, 旭川市, 士別市, 名寄市, 富良野市, 鷹栖町, 東神楽町, 当麻町, 比布町, 愛別町, 上川町, 東川町, 美瑛町, 上富良野町, 中富良野町, 和寒町, 剣淵町, 下川町, 美深町, 音威子府村, 中川町, 幌加内町, 留萌市, 増毛町, 小平町, 苫前町, 羽幌町, 初山別村, 遠別町, 天塩町, 稚内市, 猿払村, 浜頓別町, 中頓別町, 枝幸町, 豊富町, 幌延町, 滝上町, 西興部村

----------------------  遺伝情報  ----------------------

個体数＝250
世代数＝100
0: neval=250{'avg': -2289556.9783254135, 'max': 10420.441577867117, 'min': -3106406.894898867} best=-3106406.894898867
1: neval=216{'avg': -2693650.341610255, 'max': -1240112.2394238417, 'min': -3240225.4581928644} best=-3240225.4581928644
2: neval=195{'avg': -2885463.9116756986, 'max': -1388266.8400394553, 'min': -3278445.2000971837} best=-3278445.2000971837
3: neval=200{'avg': -3017146.2892470323, 'max': -2528020.3302057907, 'min': -3306393.243865212} best=-3306393.243865212
4: neval=197{'avg': -3139029.0166007234, 'max': -2664417.737442845, 'min': -3492238.4339335514} best=-3492238.4339335514
5: neval=197{'avg': -3254185.086715437, 'max': -2476730.9142442555, 'min': -3492238.4339335514} best=-3492238.4339335514
6: neval=189{'avg': -3325199.3103769845, 'max': -809927.4610487341, 'min': -3492238.4339335514} best=-3492238.4339335514
7: neval=197{'avg': -3412974.7660289267, 'max': -2779333.989708015, 'min': -3528811.3592542107} best=-3528811.3592542107
8: neval=202{'avg': -3463919.914674415, 'max': -2657395.062266249, 'min': -3545121.1087430054} best=-3545121.1087430054
9: neval=201{'avg': -3480581.8185309363, 'max': -2696480.746694498, 'min': -3545121.1087430054} best=-3545121.1087430054
10: neval=192{'avg': -3517337.4797136737, 'max': -3451306.42736951, 'min': -3545121.1087430054} best=-3545121.1087430054
11: neval=184{'avg': -3534134.532175221, 'max': -3487879.352690169, 'min': -3545121.1087430054} best=-3545121.1087430054
12: neval=205{'avg': -3537543.2763133175, 'max': -2176528.4113056376, 'min': -3545121.1087430054} best=-3545121.1087430054
13: neval=195{'avg': -3543771.729412595, 'max': -3309588.199416296, 'min': -3545121.1087430054} best=-3545121.1087430054
14: neval=194{'avg': -3544126.666054863, 'max': -3296510.43670739, 'min': -3545121.1087430054} best=-3545121.1087430054
15: neval=192{'avg': -3535446.996053059, 'max': -2114466.447176736, 'min': -3545121.1087430054} best=-3545121.1087430054
16: neval=205{'avg': -3543466.5258332863, 'max': -3131475.3813133454, 'min': -3545121.1087430054} best=-3545121.1087430054
17: neval=193{'avg': -3545121.108743005, 'max': -3545121.1087430054, 'min': -3545121.1087430054} best=-3545121.1087430054
18: neval=203{'avg': -3529632.8743851706, 'max': -1435163.0002864331, 'min': -3545121.1087430054} best=-3545121.1087430054
19: neval=192{'avg': -3545121.108743005, 'max': -3545121.1087430054, 'min': -3545121.1087430054} best=-3545121.1087430054
20: neval=194{'avg': -3545121.108743005, 'max': -3545121.1087430054, 'min': -3545121.1087430054} best=-3545121.1087430054
21: neval=207{'avg': -3545121.108743005, 'max': -3545121.1087430054, 'min': -3545121.1087430054} best=-3545121.1087430054
22: neval=177{'avg': -3543252.902712752, 'max': -3130952.275989194, 'min': -3545121.1087430054} best=-3545121.1087430054
23: neval=187{'avg': -3545121.108743005, 'max': -3545121.1087430054, 'min': -3545121.1087430054} best=-3545121.1087430054
24: neval=179{'avg': -3540312.0617172164, 'max': -2963304.438278388, 'min': -3545121.1087430054} best=-3545121.1087430054
25: neval=179{'avg': -3544561.5171304895, 'max': -3405223.205614181, 'min': -3545121.1087430054} best=-3545121.1087430054
26: neval=214{'avg': -3544453.270982848, 'max': -3378161.6687037726, 'min': -3545121.1087430054} best=-3545121.1087430054
27: neval=188{'avg': -3541886.5277445177, 'max': -2966736.7372216447, 'min': -3545121.1087430054} best=-3545121.1087430054
28: neval=202{'avg': -3536882.905050476, 'max': -1485570.1856107772, 'min': -3545121.1087430054} best=-3545121.1087430054
29: neval=199{'avg': -3540516.2279313924, 'max': -2393900.9058398446, 'min': -3545121.1087430054} best=-3545121.1087430054
30: neval=182{'avg': -3542233.553127677, 'max': -2823232.2049109624, 'min': -3545121.1087430054} best=-3545121.1087430054
31: neval=183{'avg': -3545121.108743005, 'max': -3545121.1087430054, 'min': -3545121.1087430054} best=-3545121.1087430054
32: neval=197{'avg': -3541233.0765651325, 'max': -2651925.1466196454, 'min': -3545121.1087430054} best=-3545121.1087430054
33: neval=219{'avg': -3545121.108743005, 'max': -3545121.1087430054, 'min': -3545121.1087430054} best=-3545121.1087430054
34: neval=198{'avg': -3543684.5728926654, 'max': -3397416.4726407714, 'min': -3545121.1087430054} best=-3545121.1087430054
35: neval=197{'avg': -3545121.108743005, 'max': -3545121.1087430054, 'min': -3545121.1087430054} best=-3545121.1087430054
36: neval=188{'avg': -3537346.1474089758, 'max': -2225444.4974204386, 'min': -3545121.1087430054} best=-3545121.1087430054
37: neval=190{'avg': -3545121.108743005, 'max': -3545121.1087430054, 'min': -3545121.1087430054} best=-3545121.1087430054
38: neval=198{'avg': -3545121.108743005, 'max': -3545121.1087430054, 'min': -3545121.1087430054} best=-3545121.1087430054
39: neval=201{'avg': -3539270.916607314, 'max': -2688175.106325268, 'min': -3545121.1087430054} best=-3545121.1087430054
40: neval=205{'avg': -3545121.108743005, 'max': -3545121.1087430054, 'min': -3545121.1087430054} best=-3545121.1087430054
41: neval=192{'avg': -3542095.794688422, 'max': -2788792.5950971763, 'min': -3545121.1087430054} best=-3545121.1087430054
42: neval=205{'avg': -3536288.7182919304, 'max': -2490396.1676225434, 'min': -3545121.1087430054} best=-3545121.1087430054
43: neval=191{'avg': -3545121.108743005, 'max': -3545121.1087430054, 'min': -3545121.1087430054} best=-3545121.1087430054
44: neval=206{'avg': -3545121.108743005, 'max': -3545121.1087430054, 'min': -3545121.1087430054} best=-3545121.1087430054
45: neval=209{'avg': -3545121.108743005, 'max': -3545121.1087430054, 'min': -3545121.1087430054} best=-3545121.1087430054
46: neval=199{'avg': -3538854.869304901, 'max': -1978561.249217033, 'min': -3545121.1087430054} best=-3545121.1087430054
47: neval=204{'avg': -3536514.297432652, 'max': -2556149.338425902, 'min': -3545121.1087430054} best=-3545121.1087430054
48: neval=183{'avg': -3539318.8146212352, 'max': -2712629.0312282243, 'min': -3545121.1087430054} best=-3545121.1087430054
49: neval=185{'avg': -3543464.4334119903, 'max': -3130952.275989194, 'min': -3545121.1087430054} best=-3545121.1087430054
50: neval=192{'avg': -3541181.2286501904, 'max': -2560151.085539394, 'min': -3545121.1087430054} best=-3545121.1087430054
51: neval=178{'avg': -3544783.511887962, 'max': -3460721.894982214, 'min': -3545121.1087430054} best=-3545121.1087430054
