----------------------  実行情報  ----------------------
実行時間＝493秒
個体数＝1000
合計世代数＝228
==============================
Total cost: 1161373.7611312869
==============================
------------------------  前提  ------------------------

waste=kanen

ごみ量30位以内：
札幌市 (349353), 函館市 (66649), 旭川市 (64890), 苫小牧市 (42288), 釧路市 (38335), 帯広市 (35291), 千歳市 (25770), 小樽市 (25049), 江別市 (24906), 北見市 (20809), 室蘭市 (20448), 岩見沢市 (12638), 登別市 (11426), 北広島市 (10822), 石狩市 (9341), 音更町 (7531), 稚内市 (7127), 恵庭市 (6987), 伊達市 (6907), 網走市 (6299), 滝川市 (5831), 北斗市 (5150), 七飯町 (5008), 中標津町 (4837), 根室市 (4736), 幕別町 (4414), 新ひだか町 (4277), 釧路町 (4090), 美幌町 (4063), 白老町 (3395)

焼却施設数: 12
中継施設数: 8

輸送単価＝ 300 円/t/km
--------------------  GAPlot_input  --------------------

waste =kanen

inc_size= [448337, 133599, 98026, 89763, 61374, 45633, 39598, 9045, 7553, 5428, 2398, 342]

inc_facility = ['札幌市', '苫小牧市', '旭川市', '函館市', '帯広市', '釧路市', '北見市', '中標津町', '稚内市', '根室市', '枝幸町', '羅臼町']
inc_blocks = [['札幌市', '江別市', '北広島市', '石狩市', '当別町', '蘭越町', 'ニセコ町', '真狩村', '留寿都村', '喜茂別町', '京極町', '俱知安町'], ['苫小牧市', '白老町', '厚真町', 'むかわ町', '平取町'], ['函館市', '北斗市', '松前町', '福島町', '知内町', '木古内町', '七飯町', '鹿部町', '森町', '江差町', '上ノ国町', '厚沢部町', '乙部町'], ['深川市', '沼田町', '旭川市', '士別市', '名寄市', '富良野市', '鷹栖町', '東神楽町', '当麻町', '比布町', '愛別町', '上川町', '東川町', '美瑛町', '上富良野町', '中富良野町', '和寒町', '剣淵町', '下川町', '幌加内町'], ['初山別村', '遠別町', '天塩町', '稚内市', '猿払村', '豊富町', '幌延町'], ['美深町', '音威子府村', '中川町', '浜頓別町', '中頓別町', '枝幸町', '興部町', '西興部村', '雄武町'], ['北見市', '網走市', '紋別市', '美幌町', '津別町', '小清水町', '訓子府町', '置戸町', '佐呂間町', '遠軽町', '湧別町', '滝上町', '大空町', '陸別町'], ['南富良野町', '帯広市', '音更町', '士幌町', '上士幌町', '鹿追町', '新得町', '清水町', '芽室町', '中札内村', '更別村', '大樹町', '広尾町', '幕別町', '池田町', '豊頃町', '本別町', '足寄町', '浦幌町'], ['釧路市', '釧路町', '厚岸町', '標茶町', '鶴居村', '白糖町'], ['浜中町', '根室市'], ['清里町', '斜里町', '弟子屈町', '別海町', '中標津町', '標津町'], ['羅臼町']]

trans_size=[34276, 32045, 31874, 19924, 14728, 11270, 8881, 6145]
trans_facility = ['千歳市', '小樽市', '室蘭市', '岩見沢市', '滝川市', '伊達市', '新ひだか町', '今金町']
trans_blocks = [['夕張市', '岩見沢市', '美唄市', '三笠市', '南幌町', '由仁町', '長沼町', '栗山町', '月形町', '新篠津村'], ['芦別市', '赤平市', '滝川市', '砂川市', '歌志内市', '奈井江町', '上砂川町', '浦臼町', '新十津川町', '妹背牛町', '秩父別町', '雨竜町', '北竜町', '留萌市', '増毛町', '小平町', '苫前町', '羽幌町'], ['千歳市', '恵庭市', '安平町', '占冠村'], ['小樽市', '共和町', '岩内町', '泊村', '神恵内村', '積丹町', '古平町', '仁木町', '余市町', '赤井川村'], ['室蘭市', '登別市'], ['寿都町', '伊達市', '豊浦町', '壮瞥町', '洞爺湖町'], ['日高町', '新冠町', '浦河町', '様似町', 'えりも町', '新ひだか町'], ['島牧村', '黒松内町', '八雲町', '長万部町', '今金町', 'せたな町']]

arrows = [[['札幌市'], ['小樽市', '岩見沢市']], [['苫小牧市'], ['千歳市', '室蘭市', '新ひだか町', '伊達市']], [['函館市'], ['今金町']], [['旭川市'], ['滝川市']]]


---------------------  コスト情報  ---------------------

TC_direct: {'札幌市': 28415.944230000005, '苫小牧市': 4401.24936, '旭川市': 20495.40903, '函館市': 16569.80124, '帯広市': 19951.381709999998, '釧路市': 5221.74414, '北見市': 29263.9788, '中標津町': 4346.36139, '稚内市': 729.58071, '根室市': 1239.6003600000001, '枝幸町': 1942.8120600000002, '羅臼町': 0.0}
IC_inc: {'札幌市': 157163.9060683825, '苫小牧市': 60195.73399930686, '旭川市': 48152.480689221724, '函館市': 45190.25558468947, '帯広市': 34355.666254093485, '釧路市': 27746.089065790613, '北見市': 25048.63221091822, '中標津町': 8638.377554734197, '稚内市': 7585.526856848927, '根室市': 5977.738680892802, '枝幸町': 3316.9036767943057, '羅臼町': 814.5062559483367}
OC_inc: {'札幌市': 65807.65385045693, '苫小牧市': 55344.50536017095, '旭川市': 57033.421317836976, '函館市': 56503.77419685738, '帯広市': 51261.67049056312, '釧路市': 45433.20587338103, '北見市': 42464.59053278037, '中標津町': 16927.80878262459, '稚内市': 14872.391343725345, '根室市': 11658.634045924002, '枝幸町': 6210.80752593711, '羅臼町': 1246.2565078863124}

TC_indirect: {'千歳市': 9901.982039999999, '小樽市': 16034.235779999997, '室蘭市': 20235.147588, '岩見沢市': 9671.747352, '滝川市': 12442.699781999998, '伊達市': 8756.13642, '新ひだか町': 9708.340914, '今金町': 8887.97454}
IC_trans: {'千歳市': 3313.5581589623926, '小樽市': 3125.252963120106, '室蘭市': 3110.7639175947998, '岩見沢市': 2073.5866138885513, '滝川市': 1601.6838426964523, '伊達市': 1276.4547099516303, '新ひだか町': 1044.3415897948198, '今金町': 767.6868292716742}
OC_trans: {'千歳市': 12910.890396572933, '小樽市': 12753.968382721265, '室蘭市': 12741.94074069369, '岩見沢市': 8401.411554971404, '滝川市': 6635.938780778365, '伊達市': 5692.7118417500415, '新ひだか町': 4824.675351197839, '今金町': 3932.2312855553623}


----------------------  輸送情報  ----------------------

direct 札幌市(1086/1228) t/day → receive from: 札幌市, 江別市, 北広島市, 石狩市, 当別町, 蘭越町, ニセコ町, 真狩村, 留寿都村, 喜茂別町, 京極町, 俱知安町
indirect 札幌市(142/1228) t/day → receive from: 中継施設＝ 小樽市(32045) → receive from: 小樽市, 共和町, 岩内町, 泊村, 神恵内村, 積丹町, 古平町, 仁木町, 余市町, 赤井川村
岩見沢市(19924) → receive from: 夕張市, 岩見沢市, 美唄市, 三笠市, 南幌町, 由仁町, 長沼町, 栗山町, 月形町, 新篠津村
direct 苫小牧市(130/366) t/day → receive from: 苫小牧市, 白老町, 厚真町, むかわ町, 平取町
indirect 苫小牧市(236/366) t/day → receive from: 中継施設＝ 千歳市(34276) → receive from: 千歳市, 恵庭市, 安平町, 占冠村
室蘭市(31874) → receive from: 室蘭市, 登別市
新ひだか町(8881) → receive from: 日高町, 新冠町, 浦河町, 様似町, えりも町, 新ひだか町
伊達市(11270) → receive from: 寿都町, 伊達市, 豊浦町, 壮瞥町, 洞爺湖町
direct 旭川市(228/269) t/day → receive from: 深川市, 沼田町, 旭川市, 士別市, 名寄市, 富良野市, 鷹栖町, 東神楽町, 当麻町, 比布町, 愛別町, 上川町, 東川町, 美瑛町, 上富良野町, 中富良野町, 和寒町, 剣淵町, 下川町, 幌加内町
indirect 旭川市(40/269) t/day → receive from: 中継施設＝ 滝川市(14728) → receive from: 芦別市, 赤平市, 滝川市, 砂川市, 歌志内市, 奈井江町, 上砂川町, 浦臼町, 新十津川町, 妹背牛町, 秩父別町, 雨竜町, 北竜町, 留萌市, 増毛町, 小平町, 苫前町, 羽幌町
direct 函館市(229/246) t/day → receive from: 函館市, 北斗市, 松前町, 福島町, 知内町, 木古内町, 七飯町, 鹿部町, 森町, 江差町, 上ノ国町, 厚沢部町, 乙部町
indirect 函館市(17/246) t/day → receive from: 中継施設＝ 今金町(6145) → receive from: 島牧村, 黒松内町, 八雲町, 長万部町, 今金町, せたな町
direct 帯広市(168/168) t/day → receive from: 南富良野町, 帯広市, 音更町, 士幌町, 上士幌町, 鹿追町, 新得町, 清水町, 芽室町, 中札内村, 更別村, 大樹町, 広尾町, 幕別町, 池田町, 豊頃町, 本別町, 足寄町, 浦幌町
direct 釧路市(125/125) t/day → receive from: 釧路市, 釧路町, 厚岸町, 標茶町, 鶴居村, 白糖町
direct 北見市(108/108) t/day → receive from: 北見市, 網走市, 紋別市, 美幌町, 津別町, 小清水町, 訓子府町, 置戸町, 佐呂間町, 遠軽町, 湧別町, 滝上町, 大空町, 陸別町
direct 中標津町(25/25) t/day → receive from: 清里町, 斜里町, 弟子屈町, 別海町, 中標津町, 標津町
direct 稚内市(21/21) t/day → receive from: 初山別村, 遠別町, 天塩町, 稚内市, 猿払村, 豊富町, 幌延町
direct 根室市(15/15) t/day → receive from: 浜中町, 根室市
direct 枝幸町(7/7) t/day → receive from: 美深町, 音威子府村, 中川町, 浜頓別町, 中頓別町, 枝幸町, 興部町, 西興部村, 雄武町
direct 羅臼町(1/1) t/day → receive from: 羅臼町

----------------------  遺伝情報  ----------------------

個体数＝1000
世代数＝1000
0: neval=1000{'avg': 1497293.5717007122, 'max': 1972981.1010806842, 'min': 1306459.8858915751} best=1306459.8858915751
1: neval=800{'avg': 1432205.3183202352, 'max': 1784119.628018265, 'min': 1283705.9289506283} best=1283705.9289506283
2: neval=765{'avg': 1388214.091645173, 'max': 1700029.999571378, 'min': 1257665.9811269213} best=1257665.9811269213
3: neval=773{'avg': 1357637.28159782, 'max': 1619466.8508565018, 'min': 1256059.281847264} best=1256059.281847264
4: neval=807{'avg': 1336047.7059149728, 'max': 1615772.723844968, 'min': 1238377.070751463} best=1238377.070751463
5: neval=805{'avg': 1319747.833406577, 'max': 1724230.421602903, 'min': 1237034.902894175} best=1237034.902894175
6: neval=785{'avg': 1305357.1918112794, 'max': 1591699.9517548014, 'min': 1237034.902894175} best=1237034.902894175
7: neval=784{'avg': 1288441.2366463651, 'max': 1495145.738565885, 'min': 1237034.902894175} best=1237034.902894175
8: neval=792{'avg': 1278424.4278457128, 'max': 1642663.9090637425, 'min': 1234187.529516866} best=1234187.529516866
9: neval=795{'avg': 1265792.2848473692, 'max': 1427106.1218287249, 'min': 1212369.9073488885} best=1212369.9073488885
10: neval=765{'avg': 1254518.800483543, 'max': 1435639.144422758, 'min': 1212369.9073488885} best=1212369.9073488885
11: neval=811{'avg': 1245692.7413800983, 'max': 1692496.404612529, 'min': 1213151.7577107532} best=1212369.9073488885
12: neval=803{'avg': 1239151.1783271362, 'max': 1414519.755589399, 'min': 1206475.3537828808} best=1206475.3537828808
13: neval=799{'avg': 1232388.5725243967, 'max': 1492869.2415648198, 'min': 1201920.2561989892} best=1201920.2561989892
14: neval=797{'avg': 1225194.7982804016, 'max': 1450433.5398382822, 'min': 1187230.1304327701} best=1187230.1304327701
15: neval=784{'avg': 1217396.2070818287, 'max': 1380524.6812960873, 'min': 1173446.6168997437} best=1173446.6168997437
16: neval=782{'avg': 1210994.6529030413, 'max': 1526448.1948119001, 'min': 1173446.6168997437} best=1173446.6168997437
17: neval=791{'avg': 1205112.1597048324, 'max': 1434133.1055766032, 'min': 1172367.8765012713} best=1172367.8765012713
18: neval=794{'avg': 1198441.5512013594, 'max': 1477303.6717969773, 'min': 1172367.8765012713} best=1172367.8765012713
19: neval=819{'avg': 1191959.0095848613, 'max': 1314599.2988947623, 'min': 1172367.8765012713} best=1172367.8765012713
20: neval=770{'avg': 1187442.3856218474, 'max': 1877320.2184741935, 'min': 1169160.1421695123} best=1169160.1421695123
21: neval=784{'avg': 1182902.3850564042, 'max': 1548412.2910262845, 'min': 1168934.8600390218} best=1168934.8600390218
22: neval=821{'avg': 1180283.3092446194, 'max': 1478568.0935528495, 'min': 1165314.423543412} best=1165314.423543412
23: neval=776{'avg': 1176426.6001216816, 'max': 1484467.6907794713, 'min': 1165314.423543412} best=1165314.423543412
24: neval=791{'avg': 1171430.1589184273, 'max': 1601780.6883433769, 'min': 1164821.4318859866} best=1164821.4318859866
25: neval=781{'avg': 1169221.2549711012, 'max': 1444258.4529074472, 'min': 1162346.7068184933} best=1162346.7068184933
26: neval=757{'avg': 1166939.9608330538, 'max': 1718285.5380512746, 'min': 1162346.7068184933} best=1162346.7068184933
27: neval=768{'avg': 1166744.9843511519, 'max': 1660230.8285683345, 'min': 1161373.7611312869} best=1161373.7611312869
28: neval=760{'avg': 1165966.0376233999, 'max': 1489303.2357716875, 'min': 1161373.7611312869} best=1161373.7611312869
29: neval=818{'avg': 1165128.7401646802, 'max': 1464082.6546553688, 'min': 1161373.7611312869} best=1161373.7611312869
30: neval=756{'avg': 1164557.7347999385, 'max': 1414838.4784293051, 'min': 1161373.7611312869} best=1161373.7611312869
31: neval=794{'avg': 1163744.076661126, 'max': 1414348.2963825243, 'min': 1161373.7611312869} best=1161373.7611312869
32: neval=783{'avg': 1162553.39397608, 'max': 1403307.56295184, 'min': 1161373.7611312869} best=1161373.7611312869
33: neval=784{'avg': 1162693.4132380541, 'max': 1459360.3850048487, 'min': 1161373.7611312869} best=1161373.7611312869
34: neval=787{'avg': 1162003.511280972, 'max': 1459360.3850048487, 'min': 1161373.7611312869} best=1161373.7611312869
35: neval=780{'avg': 1162040.97805488, 'max': 1441900.0279832464, 'min': 1161373.7611312869} best=1161373.7611312869
36: neval=798{'avg': 1162041.2340810932, 'max': 1461375.4141055977, 'min': 1161373.7611312869} best=1161373.7611312869
37: neval=805{'avg': 1161857.436285268, 'max': 1352345.9001428543, 'min': 1161373.7611312869} best=1161373.7611312869
38: neval=797{'avg': 1163489.593412728, 'max': 1752358.9669430815, 'min': 1161373.7611312869} best=1161373.7611312869
39: neval=802{'avg': 1162644.8168363352, 'max': 1526088.2164190924, 'min': 1161373.7611312869} best=1161373.7611312869
40: neval=779{'avg': 1162932.542621765, 'max': 1705192.8453505214, 'min': 1161373.7611312869} best=1161373.7611312869
41: neval=806{'avg': 1163282.4630213985, 'max': 1521159.763970423, 'min': 1161373.7611312869} best=1161373.7611312869
42: neval=795{'avg': 1164809.4024402793, 'max': 1630180.1695073077, 'min': 1161373.7611312869} best=1161373.7611312869
43: neval=826{'avg': 1163641.7640557576, 'max': 1505023.5104096206, 'min': 1161373.7611312869} best=1161373.7611312869
44: neval=779{'avg': 1162543.0869654207, 'max': 1410897.3184535066, 'min': 1161373.7611312869} best=1161373.7611312869
45: neval=817{'avg': 1164233.513418718, 'max': 1814647.3424142185, 'min': 1161373.7611312869} best=1161373.7611312869
46: neval=818{'avg': 1164276.9243033582, 'max': 1558460.0529900906, 'min': 1161373.7611312869} best=1161373.7611312869
47: neval=796{'avg': 1162893.7524846273, 'max': 1506001.8274702516, 'min': 1161373.7611312869} best=1161373.7611312869
48: neval=783{'avg': 1163892.7490774957, 'max': 1883003.2077755083, 'min': 1161373.7611312869} best=1161373.7611312869
49: neval=788{'avg': 1162349.9578151386, 'max': 1442301.5790673525, 'min': 1161373.7611312869} best=1161373.7611312869
50: neval=774{'avg': 1163851.7855727249, 'max': 1706399.4786158672, 'min': 1161373.7611312869} best=1161373.7611312869
51: neval=816{'avg': 1162540.541839969, 'max': 1708760.9418346665, 'min': 1161373.7611312869} best=1161373.7611312869
52: neval=807{'avg': 1162235.501396554, 'max': 1476574.824650977, 'min': 1161373.7611312869} best=1161373.7611312869
53: neval=795{'avg': 1162553.8401232895, 'max': 1506235.7107071022, 'min': 1161373.7611312869} best=1161373.7611312869
54: neval=752{'avg': 1162302.1008668197, 'max': 1560933.667805142, 'min': 1161373.7611312869} best=1161373.7611312869
55: neval=789{'avg': 1162498.7011933725, 'max': 1501856.0496215578, 'min': 1161373.7611312869} best=1161373.7611312869
56: neval=799{'avg': 1162278.893011959, 'max': 1462227.5363800605, 'min': 1161373.7611312869} best=1161373.7611312869
57: neval=778{'avg': 1162424.8518824866, 'max': 1491415.186255432, 'min': 1161373.7611312869} best=1161373.7611312869
58: neval=767{'avg': 1162595.6313614969, 'max': 1371800.5074818213, 'min': 1161373.7611312869} best=1161373.7611312869
59: neval=805{'avg': 1163399.6314642888, 'max': 1527214.3348665724, 'min': 1161373.7611312869} best=1161373.7611312869
60: neval=773{'avg': 1162267.3850647677, 'max': 1372155.7222779745, 'min': 1161373.7611312869} best=1161373.7611312869
61: neval=784{'avg': 1162992.786940843, 'max': 1564255.96878018, 'min': 1161373.7611312869} best=1161373.7611312869
62: neval=797{'avg': 1163035.6166185758, 'max': 1685849.0006312404, 'min': 1161373.7611312869} best=1161373.7611312869
63: neval=770{'avg': 1161824.9419444662, 'max': 1370004.5455428455, 'min': 1161373.7611312869} best=1161373.7611312869
64: neval=763{'avg': 1162104.1088212032, 'max': 1521873.4568358508, 'min': 1161373.7611312869} best=1161373.7611312869
65: neval=775{'avg': 1163451.6621620078, 'max': 1802473.346905457, 'min': 1161373.7611312869} best=1161373.7611312869
66: neval=784{'avg': 1161725.2600986022, 'max': 1350390.0092692615, 'min': 1161373.7611312869} best=1161373.7611312869
67: neval=797{'avg': 1162877.3316353813, 'max': 1414992.9630464104, 'min': 1161373.7611312869} best=1161373.7611312869
68: neval=773{'avg': 1162242.1151541562, 'max': 1417558.787858201, 'min': 1161373.7611312869} best=1161373.7611312869
69: neval=777{'avg': 1163175.272667418, 'max': 1373748.5666481461, 'min': 1161373.7611312869} best=1161373.7611312869
70: neval=775{'avg': 1162084.6134803786, 'max': 1653943.2942855991, 'min': 1161373.7611312869} best=1161373.7611312869
71: neval=797{'avg': 1162500.691749987, 'max': 1381673.8752735602, 'min': 1161373.7611312869} best=1161373.7611312869
72: neval=808{'avg': 1162928.0640914927, 'max': 1414734.7697492263, 'min': 1161373.7611312869} best=1161373.7611312869
73: neval=760{'avg': 1162153.0814568382, 'max': 1408349.7477240902, 'min': 1161373.7611312869} best=1161373.7611312869
74: neval=779{'avg': 1163116.262839653, 'max': 1669227.2602803498, 'min': 1161373.7611312869} best=1161373.7611312869
75: neval=804{'avg': 1162408.1530511035, 'max': 1497085.2119184143, 'min': 1161373.7611312869} best=1161373.7611312869
76: neval=824{'avg': 1162543.3953132953, 'max': 1488007.5221566344, 'min': 1161373.7611312869} best=1161373.7611312869
