
実行時間＝139秒
合計世代数＝78
------------------------  前提  ------------------------

wate=sanpai_tashi

ごみ量20位以内：
苫小牧市 (2039382), 釧路市 (1177668), 札幌市 (728360), 室蘭市 (677679), 登別市 (430316), 伊達市 (334124), 帯広市 (182218), 旭川市 (138210), 函館市 (133081), 釧路町 (121597), 白老町 (99038), 北見市 (91496), 小樽市 (91037), 千歳市 (69923), 江別市 (64214), 安平町 (60328), 洞爺湖町 (54767), 厚岸町 (49048), 岩見沢市 (47176), 稚内市 (46228)

焼却施設数: 4
中継施設数: 1

輸送単価＝ 1000 円/t/km

----------------------  輸送情報  ----------------------

direct 苫小牧市(2404345)/2404345 → receive from: 千歳市, 苫小牧市, 白老町, 厚真町, 安平町, むかわ町, 日高町, 平取町, 新冠町, 浦河町, 様似町, えりも町, 新ひだか町, 南富良野町, 占冠村
direct 釧路市(2107313)/2107313 → receive from: 北見市, 網走市, 紋別市, 美幌町, 津別町, 清里町, 斜里町, 小清水町, 訓子府町, 置戸町, 佐呂間町, 遠軽町, 湧別町, 興部町, 雄武町, 大空町, 帯広市, 音更町, 士幌町, 上士幌町, 鹿追町, 新得町, 清水町, 芽室町, 中札内村, 更別村, 大樹町, 広尾町, 幕別町, 池田町, 豊頃町, 本別町, 足寄町, 陸別町, 浦幌町, 釧路市, 釧路町, 厚岸町, 浜中町, 標茶町, 弟子屈町, 鶴居村, 白糖町, 根室市, 別海町, 中標津町, 標津町, 羅臼町
direct 室蘭市(1611922)/1857582 → receive from: 島牧村, 寿都町, 黒松内町, 蘭越町, ニセコ町, 真狩村, 留寿都村, 俱知安町, 室蘭市, 登別市, 伊達市, 豊浦町, 壮瞥町, 洞爺湖町, 八雲町, 長万部町, 今金町, せたな町
indirect 室蘭市(245660)/1857582 → receive from: 中継施設＝ 函館市(245660) → receive from: 函館市, 北斗市, 松前町, 福島町, 知内町, 木古内町, 七飯町, 鹿部町, 森町, 江差町, 上ノ国町, 厚沢部町, 乙部町, 奥尻町
direct 札幌市(1507878)/1507878 → receive from: 夕張市, 岩見沢市, 美唄市, 芦別市, 赤平市, 三笠市, 滝川市, 砂川市, 歌志内市, 深川市, 南幌町, 奈井江町, 上砂川町, 由仁町, 長沼町, 栗山町, 月形町, 浦臼町, 新十津川町, 妹背牛町, 秩父別町, 雨竜町, 北竜町, 沼田町, 札幌市, 江別市, 恵庭市, 北広島市, 石狩市, 当別町, 新篠津村, 小樽市, 喜茂別町, 京極町, 共和町, 岩内町, 泊村, 神恵内村, 積丹町, 古平町, 仁木町, 余市町, 赤井川村, 旭川市, 士別市, 名寄市, 富良野市, 鷹栖町, 東神楽町, 当麻町, 比布町, 愛別町, 上川町, 東川町, 美瑛町, 上富良野町, 中富良野町, 和寒町, 剣淵町, 下川町, 美深町, 音威子府村, 中川町, 幌加内町, 留萌市, 増毛町, 小平町, 苫前町, 羽幌町, 初山別村, 遠別町, 天塩町, 稚内市, 猿払村, 浜頓別町, 中頓別町, 枝幸町, 豊富町, 礼文町, 利尻町, 利尻富士町, 幌延町, 滝上町, 西興部村

---------------------  コスト情報  ---------------------

TC_direct: {'苫小牧市': 1412447.2715000003, '釧路市': 8955862.9671, '室蘭市': 2715818.3955000006, '札幌市': 8581140.542200001}
IC_inc: {'苫小牧市': 842839.7650338587, '釧路市': 738715.6143451941, '室蘭市': 651172.7628152886, '札幌市': 528584.5164565505}
OC_inc: {'苫小牧市': 352913.7757915962, '釧路市': 309314.92261082167, '室蘭市': 272658.9892309568, '札幌市': 221328.8518964959}

TC_indirect: {'函館市': 1309731.3099000002}
IC_trans: {'函館市': 19158.794658061364}
OC_trans: {'函館市': 1487278.9427572659}

==============================
Total cost: 28398967.421796087
==============================

----------------------  遺伝情報  ----------------------

個体数＝500
世代数＝500
0: neval=500{'avg': 48731134.74071657, 'max': 85042452.09182148, 'min': 32021692.649430893} best=32021692.649430893
1: neval=387{'avg': 42040498.31722403, 'max': 71523542.22298265, 'min': 31702712.034463454} best=31702712.034463454
2: neval=400{'avg': 38559649.62898474, 'max': 76710127.90601067, 'min': 30083567.896417707} best=30083567.896417707
3: neval=382{'avg': 35285214.50049453, 'max': 49125132.12449866, 'min': 29501927.272126734} best=29501927.272126734
4: neval=415{'avg': 33319820.058649413, 'max': 50390853.636554845, 'min': 29300535.31189609} best=29300535.31189609
5: neval=427{'avg': 31883954.48670214, 'max': 40245437.94291828, 'min': 29011519.57153369} best=29011519.57153369
6: neval=399{'avg': 30814978.354931924, 'max': 49642640.77064697, 'min': 29011519.57153369} best=29011519.57153369
7: neval=394{'avg': 29940090.21529498, 'max': 45883036.069304064, 'min': 29011519.57153369} best=29011519.57153369
8: neval=398{'avg': 29422263.960383505, 'max': 39484447.908707306, 'min': 29011519.57153369} best=29011519.57153369
9: neval=386{'avg': 29268599.08863887, 'max': 34533398.66935039, 'min': 29011519.57153369} best=29011519.57153369
10: neval=395{'avg': 29211760.836717743, 'max': 41452633.38049609, 'min': 29011519.57153369} best=29011519.57153369
11: neval=383{'avg': 29080133.161700968, 'max': 35418684.86530225, 'min': 29011519.57153369} best=29011519.57153369
12: neval=403{'avg': 29026140.630284563, 'max': 34876970.24516076, 'min': 29011519.57153369} best=29011519.57153369
13: neval=384{'avg': 29011519.571533684, 'max': 29011519.57153369, 'min': 29011519.57153369} best=29011519.57153369
14: neval=404{'avg': 29066904.941129822, 'max': 41110459.363382205, 'min': 29011519.57153369} best=29011519.57153369
15: neval=393{'avg': 29061335.259579856, 'max': 40725729.08041084, 'min': 29011519.57153369} best=29011519.57153369
16: neval=398{'avg': 29028997.374879066, 'max': 35323463.313011505, 'min': 29011519.57153369} best=29011519.57153369
17: neval=419{'avg': 29031719.546006694, 'max': 39111506.80803863, 'min': 29011519.57153369} best=29011519.57153369
18: neval=373{'avg': 29014861.689921685, 'max': 30682578.765533693, 'min': 29011519.57153369} best=29011519.57153369
19: neval=392{'avg': 29011519.571533684, 'max': 29011519.57153369, 'min': 29011519.57153369} best=29011519.57153369
20: neval=404{'avg': 29028805.79426854, 'max': 37654630.93896075, 'min': 29011519.57153369} best=29011519.57153369
21: neval=413{'avg': 29035872.421444595, 'max': 35221046.89746076, 'min': 29011519.57153369} best=29011519.57153369
22: neval=389{'avg': 29011519.571533684, 'max': 29011519.57153369, 'min': 29011519.57153369} best=29011519.57153369
23: neval=388{'avg': 29029803.253673818, 'max': 36426512.59434802, 'min': 29011519.57153369} best=29011519.57153369
24: neval=411{'avg': 29035567.839320287, 'max': 36650821.596133694, 'min': 29011519.57153369} best=29011519.57153369
25: neval=405{'avg': 29016092.994369835, 'max': 31298230.98961006, 'min': 29011519.57153369} best=29011519.57153369
26: neval=400{'avg': 29028936.637055617, 'max': 35578532.275460765, 'min': 29011519.57153369} best=29011519.57153369
27: neval=402{'avg': 29007844.258635256, 'max': 29011519.57153369, 'min': 28398967.421796087} best=28398967.421796087
28: neval=392{'avg': 29001718.737137888, 'max': 29011519.57153369, 'min': 28398967.421796087} best=28398967.421796087
29: neval=395{'avg': 28999505.826265626, 'max': 34064876.98635961, 'min': 28398967.421796087} best=28398967.421796087
30: neval=411{'avg': 28917082.989441153, 'max': 35868604.062340766, 'min': 28398967.421796087} best=28398967.421796087
31: neval=400{'avg': 28765021.456586633, 'max': 37587510.356133685, 'min': 28398967.421796087} best=28398967.421796087
32: neval=400{'avg': 28545250.4651935, 'max': 39782486.02583369, 'min': 28398967.421796087} best=28398967.421796087
33: neval=375{'avg': 28402642.734694514, 'max': 29011519.57153369, 'min': 28398967.421796087} best=28398967.421796087
34: neval=398{'avg': 28517421.800117288, 'max': 53438594.50039614, 'min': 28398967.421796087} best=28398967.421796087
35: neval=387{'avg': 28398967.42179609, 'max': 28398967.421796087, 'min': 28398967.421796087} best=28398967.421796087
36: neval=405{'avg': 28433275.05254993, 'max': 35136660.38756075, 'min': 28398967.421796087} best=28398967.421796087
37: neval=382{'avg': 28432101.837619275, 'max': 37608199.71106076, 'min': 28398967.421796087} best=28398967.421796087
38: neval=401{'avg': 28421401.284953438, 'max': 36282040.869106315, 'min': 28398967.421796087} best=28398967.421796087
39: neval=386{'avg': 28441652.47034482, 'max': 41788293.32156074, 'min': 28398967.421796087} best=28398967.421796087
40: neval=420{'avg': 28447457.28647517, 'max': 39885798.446496084, 'min': 28398967.421796087} best=28398967.421796087
41: neval=379{'avg': 28424723.361008216, 'max': 37125442.77546076, 'min': 28398967.421796087} best=28398967.421796087
42: neval=392{'avg': 28404601.793064438, 'max': 31216153.055969898, 'min': 28398967.421796087} best=28398967.421796087
43: neval=398{'avg': 28406625.073062316, 'max': 30420802.284979425, 'min': 28398967.421796087} best=28398967.421796087
44: neval=382{'avg': 28414913.508757595, 'max': 36372010.90254984, 'min': 28398967.421796087} best=28398967.421796087
45: neval=383{'avg': 28422241.753478512, 'max': 38073113.557960756, 'min': 28398967.421796087} best=28398967.421796087
46: neval=409{'avg': 28487332.974214662, 'max': 42110031.34164665, 'min': 28398967.421796087} best=28398967.421796087
47: neval=404{'avg': 28426451.59881634, 'max': 36355464.74379607, 'min': 28398967.421796087} best=28398967.421796087
48: neval=405{'avg': 28454610.734649826, 'max': 40817913.73454165, 'min': 28398967.421796087} best=28398967.421796087
49: neval=402{'avg': 28478250.964858215, 'max': 57173909.2681961, 'min': 28398967.421796087} best=28398967.421796087
50: neval=382{'avg': 28418137.357896302, 'max': 37983935.47190354, 'min': 28398967.421796087} best=28398967.421796087
51: neval=381{'avg': 28398967.42179609, 'max': 28398967.421796087, 'min': 28398967.421796087} best=28398967.421796087
52: neval=402{'avg': 28421980.93603129, 'max': 39905724.53939609, 'min': 28398967.421796087} best=28398967.421796087
53: neval=378{'avg': 28403011.0565455, 'max': 30420784.796501778, 'min': 28398967.421796087} best=28398967.421796087
54: neval=411{'avg': 28430106.135101482, 'max': 38942254.72499609, 'min': 28398967.421796087} best=28398967.421796087
55: neval=389{'avg': 28423774.77811509, 'max': 35997702.82539607, 'min': 28398967.421796087} best=28398967.421796087
56: neval=405{'avg': 28403897.062446687, 'max': 30863787.74709608, 'min': 28398967.421796087} best=28398967.421796087
57: neval=394{'avg': 28402058.640955225, 'max': 29944577.00136346, 'min': 28398967.421796087} best=28398967.421796087
58: neval=397{'avg': 28416841.97574817, 'max': 34805108.57977985, 'min': 28398967.421796087} best=28398967.421796087
59: neval=399{'avg': 28398967.42179609, 'max': 28398967.421796087, 'min': 28398967.421796087} best=28398967.421796087
60: neval=416{'avg': 28398967.42179609, 'max': 28398967.421796087, 'min': 28398967.421796087} best=28398967.421796087
61: neval=418{'avg': 28398967.42179609, 'max': 28398967.421796087, 'min': 28398967.421796087} best=28398967.421796087
62: neval=402{'avg': 28398967.42179609, 'max': 28398967.421796087, 'min': 28398967.421796087} best=28398967.421796087
63: neval=384{'avg': 28398967.42179609, 'max': 28398967.421796087, 'min': 28398967.421796087} best=28398967.421796087
64: neval=405{'avg': 28509129.138684183, 'max': 55175391.49089608, 'min': 28398967.421796087} best=28398967.421796087
65: neval=398{'avg': 28412219.296311863, 'max': 35024904.67968328, 'min': 28398967.421796087} best=28398967.421796087
66: neval=382{'avg': 28412277.36794658, 'max': 35053940.49704345, 'min': 28398967.421796087} best=28398967.421796087
67: neval=410{'avg': 28456462.75062964, 'max': 36994647.7321161, 'min': 28398967.421796087} best=28398967.421796087
68: neval=403{'avg': 28443139.745942682, 'max': 40549386.6067961, 'min': 28398967.421796087} best=28398967.421796087
69: neval=393{'avg': 28420545.797486592, 'max': 36259041.964693606, 'min': 28398967.421796087} best=28398967.421796087
70: neval=401{'avg': 28414813.823940285, 'max': 36322168.49389622, 'min': 28398967.421796087} best=28398967.421796087
71: neval=396{'avg': 28407757.86592769, 'max': 32794189.48759609, 'min': 28398967.421796087} best=28398967.421796087
72: neval=385{'avg': 28487162.319107886, 'max': 40749691.60759609, 'min': 28398967.421796087} best=28398967.421796087
73: neval=412{'avg': 28435925.323483873, 'max': 42006721.720501065, 'min': 28398967.421796087} best=28398967.421796087
74: neval=390{'avg': 28457326.38675343, 'max': 46905332.22205645, 'min': 28398967.421796087} best=28398967.421796087
75: neval=382{'avg': 28455403.86599152, 'max': 42563991.83749609, 'min': 28398967.421796087} best=28398967.421796087
76: neval=405{'avg': 28427629.100463, 'max': 36272805.35034909, 'min': 28398967.421796087} best=28398967.421796087
77: neval=384{'avg': 28461818.889751703, 'max': 50959810.94289609, 'min': 28398967.421796087} best=28398967.421796087
